Age,Cause,Date,Employed at,Employeed (Y/N),Fatalities,Gender,Incident Area,Injured,Latitude,Location,Longitude,Mental Health Issues,Open/Close Location,Policeman Killed,Race,State,Summary,Target,Title,Total victims
,,2016-01-11,,,1,Male,Home,4,39.739072,"Church Street Historic District, North Church Street, Wilmington, New Castle County, Delaware, 19801, United States of America",-75.539788,Unknown,Close,0.0,Black American or African American,Delaware,"Two men forcefully entered a house, and started shooting the people inside. One of the robbers was killed. Four other people injured.",random,"Wilmington, DE robbery",5
,,2016-01-07,,,1,Unknown,,3,35.149534,"Shelby County Office Building, North 2nd Street, Memphis, Shelby County, Tennessee, 38107, United States of America",-90.04898,Unknown,Open,0.0,Unknown,Tennessee,A woman flagged down a car to help her with her car troubles at the side of the road. An 18-year-old got out to help. The two suspects got out of another car and fired on the scene.,random,"Roadside in Memphis, Tennessee",4
,,2016-01-06,,,3,Male,Home,1,28.039465000000003,"First United Methodist Church, East Walnut Street, Lakeland, Polk County, Florida, 33801, United States of America",-81.949804,Unknown,Close,0.0,Black American or African American,Florida,Two men arrived at the house of a drug dealer and killed three people and critically injured one more.,drug dealer,"Residence in Lakeland, Florida",4
,,2015-12-06,,,2,Male,,3,41.3138,"Omaha, Nebraska",-96.0814,Unknown,,0.0,Black American or African American,Nebraska,A woman and her two year old daughter were shot and killed Sunday. Three other women are still fighting for their lives following the shooting.  The suspect turned himself into police on Tuesday morning.,random,"Omaha, Nebraska",5
,terrorism,2015-12-02,county health department,1.0,16,Male/Female,conference room,21,34.13973446,"San Bernardino, California",-117.29424440000001,Unknown,Close,0.0,Asian American,California,"On Wednesday of December 2, 2015, two gunmen entered a conference room on the Inland Regional Center property, killing 14 people, and injuring 21 people. The facility was rented by the San Bernardino County Department of Public Health for a holiday party. The shooter was at the party but left abruptly before the shooting. He seemed angry, witnesses told police. He returned and along with his wife, he went into the building and began firing. The man was an inspector with the county health department that hosted the party. ",party guests,"San Bernardino, California",35
57,,2015-11-27,,,3,M,health clinic,9,38.8339578,"Colorado Springs, Colorado",-104.8253485,Unclear,Close,1.0,White,Colorado,"police were called to a street to investigate an assault case. One hispanic man lay dead on the street. Two other adult males, and a young female were injured.",random,Planned Parenthood clinic,12
,,2015-11-23,,,4,Male,Home,1,39.98861445,"Columbus, Ohio",-82.98904135,Unknown,Close,0.0,White American or European American,Ohio,"On Monday of November 23, 2015, three of four members of a family were shot and killed and a 12-year-old girl wounded at their home. The suspect died after being shot by police. The shooter was a once friendly neighbor of the victims.",neighbors,"Columbus, Ohio",4
,racism,2015-11-23,,,0,Male,Black Lives Matter encampment,5,44.96358722,"Minneapolis, Minnesota",-93.26783687,Unknown,Open,0.0,White American or European American,Minnesota,"Five protesters were shot late Monday night near the Black Lives Matter encampment. A group of white supremacists showed up at the protest, and when about a dozen protesters attempted to herd the group away from the area, they opened fire on the protesters. Protesters have been camping out in front of the 4th Precinct since Nov. 15",protestors,"Minneapolis, Minnesota",5
,,2015-11-15,,,6,Male,private campsite,0,31.8076,"Tennessee Colony, Texas",-95.8069,Unknown,Open,0.0,White American or European American,Texas,"On Sunday of November 15, 2015, six people are dead after a weekend homicide at a private campsite. The bodies of a man and woman were found in a travel trailer. The bodies of four males, who were initially considered missing, were later recovered about 1:15 p.m. Monday in a pond on the suspect's residence. ",random,"Tennessee Colony, Texas",6
,domestic dispute,2015-11-13,former military,,4,Male,Home,1,30.33216122,"Jacksonville, Florida",-81.67576993,Unknown,Close,0.0,Black American or African American,Florida,"On Friday of November 13, 2015,The former military member walked into his Northside, Florida, home and shot his girlfriend, their twin babies, and girlfriend's father before shooting himself. The shooter had a history of domestic violence.",Family,"Jacksonville, Florida",4
,psycho,2015-11-07,,,1,Male,,2,31.21094544,"Waycross, Georgia",-82.35793452,Yes,,0.0,Black American or African American,Georgia,"On Saturday of November 7, 2015,a pregnant mother of two was killed in a violent rampage early Saturday along with her unborn child. Both of her toddlers were also shot. The shooter is the father of one of the small children.",Family,"Waycross, GA",3
,domestic dispute,2015-11-04,,,4,Male,Home,0,44.54994725,"Oakland, Maine",-69.70782299,Unknown,Close,0.0,Unknown,Maine,"A gunman shot his girlfriend,  his girlfriend's sister and her boyfriend to death in a Central Maine apartment building, leaving a young girl unharmed on the first floor before turning the weapon on himself. They all shared the brown clapboard home, which was divided into two apartments. The gunman and his girlfriend lived in the upstairs room of the apartment while the two other victims (his girlfriend's sister and her boyfriend) lived in the downstairs with their 3 year old daughter. All three victims were found on first floor.",Family,"Oakland, Maine",3
,terrorism,2015-10-31,,,4,Male,sidewalk,0,38.86730659,"Colorado Springs, Colorado",-104.7572279,Unknown,Open,0.0,White American or European American,Colorado,"In the morning of October 31, 2015, three victims were shot and killed on the streets and sidewalks of the neighborhood.The gunman died in a shootout with police. A witness described he was walking in the street with two guns, walking calmly. The shooter killed a bicyclist and two women at a nearby location.",random,Colorado Springs,3
,,2015-10-21,,,2,Male,Colerain Township,1,39.253268,"Colerain Township, Ohio",-84.599655,Unknown,,0.0,White American or European American,Ohio,"A man killed his two teenage sisters and injured another teen in Colerain Township, Ohio, in the early hours of Tuesday, Oct. 21, 2015.",Family,"Colerain Township, Ohio",3
,anger,2015-10-09,,,1,Male,Northern Arizona University,3,35.1725658,"Flagstaff, Arizona",-111.65854350000001,Unknown,Open,0.0,White American or European American,Arizona,"On Friday of October 9, 2015, one person is dead and three are wounded after an early morning shooting on Northern Arizona University's campus. An overnight confrontation between two groups of students escalated into gunfire. The shooter is a freshman of Northern Arizona University.",Students,Northern Arizona University at Flagstaff Campus,4
,terrorism,2015-10-01,,,10,Male,Community College Classroom,7,43.22205555,"Roseburg, Oregon",-123.3522367,Unknown,Close,0.0,Two or more races,Oregon,"On Monday of October 1, 2015, a gunman opened fire at a rural Oregon community college Thursday. 9 people were dead and seven wounded, three critically, before dying in a shootout with police. First, a shot came through the window and hit the teacher in the head  in a freshman writing class. The gunman then entered the Snyder Hall classroom and told people to get on the floor. He told people to stand up and state their religion before opening fire.",Students,Umpqua Community College,16
57,anger,2015-10-01,,,3,Male,,1,29.03270634,"Inglis, Florida",-82.65919302,Unknown,Open,0.0,White American or European American,Florida,"A man 57-year-old man shot and killed his wife, injured her boyfriend, and killed a Good Samaritan 68-year-old man as he rushed to protect children who were playing near the town hall before taking his life. The shooter's couple had been married for 35 years when they separated, and the shooter's wife had left her husband for her new boyfriend.",Ex-Wife,"Inglis, Florida",3
,,2015-09-27,,,0,Male,Club,10,33.02912644,"Greenville, Georgia",-84.7143335,Unknown,Close,0.0,Black American or African American,Georgia,A shooting at a club in Meriwether Co. early Sunday injured 10 people after witnesses say gun fire was exchanged that stemmed from alleged illegal gambling.,random,Hill Haven Event Center (Formerly Club CJ's),10
,,2015-09-17,,,6,Male,Home,0,43.38682722,"Platte, South Dakota",-98.84357239,Unknown,Close,0.0,White American or European American,South Dakota,"The six members of a South Dakota family found dead in the ruins of their burned home were fatally shot, with one death believed to be a suicide. All six members of the shooter's family died of shotgun wounds.",Family,"Platte, South Dakota",5
,,2015-09-10,,1.0,5,Male,Home,0,47.69618799,"Clearbrook (Greenwood), Minnesota",-95.42844094,Yes,Close,0.0,White American or European American,Minnesota,"Five family members - two adults and three children - were found dead in a home on Thursday, September 10 in an apparent murder-suicide. The shooter, a nurse, founded the website AllNurses.com, which provides information and resources for and about the nursing profession.",random,"Clearbrook (Greenwood), Minnesota",4
,psycho,2015-08-29,,,3,Male,,1,36.55605824,"Bristol, Tennessee",-82.21429551,Unknown,,0.0,White American or European American,Tennessee,"The shooter shot and killed his mother, stepfather, and grandmother in a matter of seconds on Saturday night.",Family,"Bristol, Tennessee",4
,psycho,2015-08-26,Virginia TV,1.0,3,Male,Outdoor Shopping Mall,1,37.27823366,"Roanoke, Virginia",-79.95816104,Unknown,Open,0.0,Black American or African American,Virginia,"Wednesday morning on August 26, 2015, a former employee of a Virginia TV news station waited until two of his former colleagues were live on air presenting a local tourism story at an outdoor shopping mall, then filmed himself raising a gun and shooting them both dead. A third victim survived the attack. He uploaded the videos to Twitter before committing suicide.",Coworkers,Virginia WDBJ live TV interview shooting,3
,,2015-08-19,,,3,Male,Genesee Street,4,43.16968370000001,"Rochester, New York",-77.614337,Unknown,Open,0.0,Black American or African American,New York,"Around 11:20 p.m. Wednesday on Genesee Street, a gunman shot into a crowd that gathered outside the Rochester Boys and Girls Club after a basketball game, killing three people and wounding four others. 
Drive-by, Gang involvement",random,Parking lot near Boys and Girls Club,7
,revenge,2015-08-08,,,8,Male,Home,0,29.79705548,"Houston, Texas",-95.36763856,Unknown,Close,0.0,Black American or African American,Texas,A family of six children and two parents were handcuffed and fatally shot in the head at a Houston home by a man with a violent criminal history who had previously been in a relationship with the mother and had a dispute with her.,Ex-Girlfriend,"Houston, Texas",8
,,2015-07-23,,,3,Male,Movie Theatre,9,30.21233538,"Lafayette, Louisiana",-92.0316453,Yes,Close,0.0,White American or European American,Louisiana,"On July 23, 2015, a shooting occurred at The Grand 16 Theater movie theater in Lafayette, Louisiana. The shooter opened fire during a showing of the film Trainwreck, killing two people and injuring nine others before he committed suicide.",random,"Grand 16 Theatre, Louisiana",11
,psycho,2015-07-22,,,4,Male,Home,1,34.05057545,"Suwanee, Georgia",-84.06872262,Unknown,Close,0.0,White American or European American,Georgia,A gunman killed his wife and her two young children inside a suburban Georgia home early Wednesday before fatally shooting himself.,Family,Suwanee,4
,terrorism,2015-07-16,,,5,Male,military facilities,3,35.09318123,"Chattanooga, Tennessee",-85.23676751,Yes,Open,0.0,White American or European American,Tennessee,"Four Marines were shot dead Thursday after a gunman brazenly opened fire on two  military facilities in Chattanooga, Tennessee. The shooter was also killed and three people including a police officer were injured.",Marines,"Amnicola Training Center, Chattanooga",7
,domestic dispute,2015-07-12,,,2,Male,river forest,3,41.89499946,"River Forest, Illinois",-87.81941392,Unknown,Open,0.0,Unknown,Illinois,Two people including the shooter are dead and three others were wounded following what began as a domestic violence incident in River Forest on Sunday morning. Two police officers were among those wounded by gunfire in the incident.,Family,River Forest,4
,anger,2015-06-20,,,0,Male,Club,4,34.86379864,"Morven, North Carolina",-79.9996781,Unknown,Close,0.0,Black American or African American/Unknown,North Carolina,"Two men were arguing in a club called the Boom Boom Room Saturday morning around 2:45. When they started shooting at each other, four bystanders were caught in the crossfire. One of shooters was arrested later, and the other turned himself in on Tuesday, June 23, 2015.",random,Boom Boom Room,4
21,terrorism,2015-06-17,,,9,Male,Church,1,32.788387,"Charleston, South Carolina",-79.933143,unknown,Close,0.0,White,South Carolina,"Dylann Storm Roof, 21, shot and killed 9 people after opening fire at the Emanuel AME Church in Charleston, South Carolina. According to a roommate, he had allegedly been ÃÂÃÂ¢ÃÂÃÂÃÂÃÂplanning something like that for six months.""",random,Charleston Church Shooting,10
,,2015-06-16,,,0,Male,birthday party,4,25.94326707,"Miami Gardens, Florida",-80.24253243,Unknown,,0.0,Black American or African American,Florida,"The shooter opened fire when fight broke out during birthday party around 5:30 p.m. The man pulled out a gun and opened fire, hitting four people.",party guests,Miami Gardens,4
27,,2015-06-11,,,3,M,,1,44.20222929999999,"Menasha, Wisconsin",-88.44653609999996,Yes,,0.0,Latino,Wisconsin,"Sergio Valencia del Toro, 27, in what officials say was a random act, shot and killed three people including an 11-year-old girl before turning the gun on himself.",random,Trestle Trail bridge shooting,4
,,2015-06-07,,,5,Male,,0,46.39761858,"Deer Lodge, Montana",-112.73293329999998,Unknown,Close,0.0,White American or European American,Montana,"The man shot and killed his wife and three children, set a fire in the family's remote cabin and then killed himself.",Family,Deer Lodge,4
,psycho,2015-05-31,,,3,Male,Home,1,41.47657557,"Cleveland, Ohio",-81.68051502,Unknown,Close,0.0,Unknown,Ohio,"On May 31, 2015, the shooter entered his ex-girlfriend's home and found his ex-girlfriend and her grandfather upstairs, shooting and killing both. He then took his own life.",Ex-girlfriend,Cleveland,3
,psycho,2015-05-31,,,3,Male,liquor store,2,33.66086267,"Conyers, Georgia",-84.02688527,Unknown,Close,0.0,White American or European American,Georgia,"On May 31, 2015, the shooter entered the business just before 5 pm and open fire. He appeared to randomly shoot at anyone in his path but turns and leaves the building when an armed citizen off-camera returns fire. After the shooter left the liquor store, he  returned to his parents' home and shot and wounded them both. ",random,Conyers,4
,revenge,2015-05-25,,,1,Male,Club,4,39.85566372,"Decatur, Illinois",-88.93346458,Unknown,Close,0.0,Black American or African American,Illinois,"On May 25, 2015, the shooter was attending a rap concert at a venue called Club Maxey Monday when he and the victim got into an altercation.  The four other people were wounded.",random,Club Maxey's,5
,psycho,2015-05-12,,,5,Male,,0,32.15358905,"Tucson, Arizona",-110.96776470000002,Yes,,0.0,Unknown,Arizona,"On May 12, 2015, the man gunned down four of his family members, including his 17-year-old niece, before fatally shooting himself in a murder-suicide.",Family,Tucson,4
,terrorism,2015-05-10,,,1,Male,opening of motorcycle season,3,40.73169648,"Newark, New Jersey",-74.18417699,Unknown,Open,0.0,Black American or African American,New Jersey,"The shooting occurred during an annual event marking the opening of the motorcycle season. More than 2,000 people were in attendance when gunfire erupted at South 16th Street and 19th Avenue just before 8 p.m. Sunday. High school football star Al-Shakeem Woodson was shot and killed and three other people were wounded in the shooting.
The shooting was a result of a long-running feud between two other against the shooter and the 16-year-old.",random,Annual motorcycle event in Newark,4
,,2015-05-03,,,4,Male,bridge,1,44.20455909,"Menasha, Wisconsin",-88.4484585,Yes,Open,0.0,Unknown,Wisconsin,"On May 3, 2015, an argument with his ex-fiance likely motivated a university student to randomly shoot four people  on a bridge at a park Sunday night, three fatally. Then  the gunman also shot and killed himself.",random,Fox Cities Trestle Trail bridge over Little Lake Butte des Morts,4
,domestic dispute,2015-05-01,,,2,Male,street,3,43.06420322,"Milwaukee, Wisconsin",-87.96724385,No,Open,0.0,Unknown,Wisconsin,"dylann Storm Roof, 21, shot and killed 9 people after opening fire at the Emanuel AME Church in Charleston, South Carolina. According to a roommate, he had allegedly been ÃÂÃÂ¢ÃÂÃÂÃÂÃÂplanning something like that for six months.""",random,Milwaukee,5
,terrorism,2015-04-25,,,1,Male,Gates Pub,6,43.15693027,"Gates, New York",-77.69300856,Unknown,Close,0.0,Black American or African American,New York,"On early Saturday morning of April 25, the man opened fire inside the Gates Pub. Seven people were shot, one of them was killed.",random,Gates Pub,7
,,2015-04-21,,,2,Male,Village West Apartments,3,31.07925506,"Killeen, Texas",-97.73392317,Unknown,Close,0.0,Black American or African American,Texas,"On April 21, 2015, the man fatally shot two women and wounded three others at the Village West Apartments. ",random,Killeen,5
,,2015-04-16,,,5,Male,,0,33.57145875,"Phoenix, Arizona",-112.0904854,Unknown,,0.0,Some other race,Arizona,"On April 16, 2015, a man who had been in a business dispute with his two brothers shot and killed them with his mother and one of their wives before taking his own life.",Family,Phoenix,4
,,2015-04-07,,,1,Male,street,3,34.26779152,"Rome, Georgia",-85.18822422,No,Open,0.0,Black American or African American,Georgia,"On April 7, 2015, the man entered 20 Copeland St. about 11:10 p.m. Tuesday and demanded cash from one of victim. The man then fired a handgun at the victim, killing him. Police said at least two men intended to rob people at the Copeland Street home.",random,Rome,4
,,2015-04-05,,,0,Male,Home,5,39.77725479,"Indianapolis, Indiana",-86.14635359,No,Close,0.0,Unknown,Indiana,"On Sunday  evening of April 5, three suspects entered the apartment, fired multiple shots, and then fled the scene. Five people were injured, three of them were children. One of three suspects was arrested.",random,Indianapolis,5
,,2015-04-03,,,0,Male,Home,4,29.19313443,"Daytona Beach, Florida",-81.10173014,No,Close,0.0,Black American or African American,Florida,"On April 3, 2015, four people were shot early Friday morning at a house party near Bethune-Cookman University in Daytona Beach. Four Bethune-Cookman University students were shot after the alleged gunman was kicked out of a house party about four blocks from the campus in Daytona Beach. The escaped suspect surrendered on April 6, 2015.",random,Daytona Beach,4
,,2015-03-30,,,4,Male,Home,0,36.13543238,"Tulsa, Oklahoma",-95.91316117,Unknown,Close,0.0,Asian American,Oklahoma,"On March 30, 2015, police discovered four bodies of a family, including two young boys, inside a home in Tulsa, Oklahoma on Wednesday in what appeared to be a murder-suicide. Officers discovered the bodies Wednesday afternoon as they conducted a welfare check requested by the mother's employer who was concerned after the woman failed to show up for work or call in sick for two days. A handgun was found near the father's body. ",Family,Tulsa,3
,,2015-03-28,,,0,Male,Home,7,30.22540212,"Panama City Beach, Florida",-85.87371301,No,Close,0.0,Black American or African American,Florida,"On March 28, 2015, seven people were wounded, several critically, in a shooting at a Spring Break house party early Saturday. The shooter was arrested after the shooting.",party guests,Panama City Beach,7
,psycho,2015-03-19,,,2,Male,,2,36.44329000000001,"Little Water, New Mexico",-108.723281,Unknown,,1.0,Unknown,New Mexico,"On March 19, 2015, police officer was shot and killed after responding to a domestic violence situation. The shooter was holding his family hostage and allegedly pistol-whipped his wife and mother. The suspect led police on a 40-mile chase from New Mexico to Arizona before he was shot and killed.",Policeman,Little Water,3
,,2015-03-18,,,1,Male,,5,33.42268696,"Mesa, Arizona",-111.8163202,No,Open,0.0,White American or European American,Arizona,"On March 18, 2015, the shootings started with an argument inside a motel room that spilled outside, one man dead and two women wounded. The gunman then shot another man who was working at a nearby restaurant. The gunman got away from the restaurant by carjacking the school instructor's car. The man then went to an apartment complex about 2 miles away, and shot another man. Another man was found in a neighboring apartment building with multiple gunshot wounds.",random,Mesa,6
,,2015-03-15,,,3,Male,Home,1,31.054968699999996,"Cottonwood, Alabama",-85.30100084,No,Close,0.0,White American or European American,Alabama,"On Sunday night of March 15, the man broke into a house and killed two people including his wife and shot another person before turning the gun on himself.",Family,Cottonwood,3
,,2015-03-13,,,2,Male,Home,3,31.58036482,"Brookhaven, Mississippi",-90.44323475,Unknown,Close,0.0,Black American or African American,Mississippi,"On early Friday morning of March 13, the man accused of shooting  the owners of a house, killing the two and critically injuring the other three. The man rented a room in the house. The man and the house owner had argued about something, and the man pulled out a gun and started shooting. He was found dead on Saturday, May 31, 2015 in his cell.",House Owner,Brookhaven,5
,terrorism,2015-02-28,,,4,Male,Barber Shop,0,35.90434471,"Tarboro, North Carolina",-77.55639964,Yes,Open+Close,0.0,Black American or African American,North Carolina,"On Saturday afternoon of February 28, 2015, one of the fatal shootings happened at the Master's Touch barber shop around 1 p.m. Another shooting  happened at a nearby mobile home park. A woman and man were shot in that encounter. Police later shot and killed the suspected gunman after they tracked down the suspect. ",random,Tarboro,3
,psycho,2015-02-27,,,1,Male,street,2,33.5282865,"Birmingham, Alabama",-86.79550448,No,Open,0.0,Black American or African American,Alabama,"On February 27, 2015, the online Facebook brawl between two groups of friends spilled out into the streets with a planned videotaped fight.  After the melee ensued, two teenage males pulled out guns and started shooting at the girls. The shots killed 14-year-old girl and wounded two others.",Friends,Birmingham's Washington Park,3
,psycho,2015-02-26,,,8,Male,Home,1,37.204442,"Tyrone, Missouri",-91.876583,No,Close,0.0,White American or European American,Missouri,"Late night on February 26, a man entered the home of two of his cousins and shot them. Their daughter escaped the home and called the police. The shooter proceeded to four other nearby residences, killing two more of his cousins and three other acquaintances. The shooter then drove to another county and killed himself in his car. The shooter's mother, who lived with the shooter, was found dead from lung cancer in her home.",Family,Tyrone,8
,,2015-02-24,,,3,Male,Home,0,35.226354,"Charlotte, North Carolina",-80.836788,No,Close,0.0,Some other race,North Carolina,"On February 24, 2015, ""America's Next Top Model"" contestant was killed in a triple homicide at her boyfriend's home.",Contestant,Charlotte,3
,,2015-02-22,,,3,Male,Home,2,34.61025711,"Clarkesville, Georgia",-83.52918091,No,Close,0.0,White American or European American,Georgia,"On February 22, 2015, A former police officer fatally shot his ex-wife and her friend, then wounded a local sheriff and a deputy at his ex-wife's home on Sunday before he was killed by the return fire from law enforcement.",Ex-Wife,Clarkesville,4
,,2015-02-22,Fort Hood,1.0,4,Male,,1,31.07925506,"Killeen, Texas",-97.73392317,No,,0.0,Black American or African American,Texas,"On Sunday night of February 22, Fort Hood soldier opened fire on three people, killing two and injuring one before forcing his wife into another home, where he killed her and then himself. ",random,Killeen,4
,anger,2015-02-10,,,3,Male,Home,0,35.92681467,"Chapel Hill, North Carolina",-79.03850407,No,Close,0.0,White American or European American,North Carolina,"On the evening of Feb. 10, 2015, a man entered the apartment of three Muslim students with whom he had an ongoing dispute about parking space. The man was a fellow resident of the apartment complex. He shot all three people in the head, killing them. ",neighbors,Chapel Hill,3
,terrorism,2015-02-09,,,3,Male/Female,Home,1,28.24653304,"New Port Richey, Florida",-82.71690259,No,Close,0.0,White American or European American/Some other Race,Florida,"Early morning on Feb. 9, 2015 two shooters with significant criminal records entered a house Moon Lake and shot the four residents of the house. Three of the victims were killed and the fourth was injured and escaped the house after the shooters left. The shooters escaped and were arrested a week later.",random,Moon Lake,4
,,2015-02-07,,,0,Male,Shopping Mall,3,40.42574550000001,"Monroeville, Pennsylvania",-79.76092565,No,Close,0.0,Black American or African American,Pennsylvania,"On the evening of Feb. 7, 2015, a teenager entered Macy's at the Monroeville Mall, approached a man and spoke briefly with him. Then he shot him and two bystanders. The shooter left the scene, but was arrested the next morning.",random,Monroeville Macy's,3
,psycho,2015-02-07,,,5,Male,Home,2,33.71059292,"Douglasville, Georgia",-84.71564276,No,Close,0.0,Black American or African American,Georgia,"On February 7, 2015, a man entered the house of his ex-wife and shot her, two of their children, her boyfriend, and wounded two of her children. He then went onto the street and shot himself.",Family,Douglasville,6
,psycho,2015-02-04,,,4,Male,,0,36.27617912,"King, North Carolina",-80.35501402,Unknown,,0.0,White American or European American,North Carolina,"A Couple and their sons were found shot to death in their mobile home on Wednesday, February 4. 2015. All four family members were found shot in the head. The shooter shot his wife and two boys before killing himself.",random,"King, North Carolina",3
,revenge,2015-02-01,,,0,Male,Pub,6,43.04093416,"Syracuse, New York",-76.14376763,No,Close,0.0,Black American or African American,New York,"Shortly after midnight on February 1, 2015, a man forced his ex-girlfriend at gunpoint to bring him to McAvan's Pub, where a birthday party with her relatives was taking place. The woman's brother attempted to separate her from her companion, at which point the man opened fire, injuring six people including his ex-girlfriend's brother.",Ex-Girlfriend & Family,McAvan's Pub,6
,psycho,2015-01-28,,,5,Male,Home,0,33.03607062,"LaGrange, Georgia",-85.0287065,No,Close,0.0,White American or European American,Georgia,"On January 28, 2015, in a Georgia home, a man shot three family members and one friend, and strangled his daughter in law. All five died. He left town with the family's dog, and police arrested him several days later.",Family,LaGrange,5
,psycho,2015-01-24,,,4,Male,Home,1,40.68996411,"New York City, New York",-73.8720502,No,Close,0.0,Black American or African American,New York,"Early in the morning of January 24, 2015, a man shot his two daughters, wife, and mother-in-law, killing all but one of his daughters. The shooter  then went to his car and shot himself.",Family,Queens,4
,terrorism,2015-01-24,,,3,Male,Party Outside Home,5,41.265921999999996,"Omaha, Nebraska",-96.05381421,No,Open,0.0,Black American or African American,Nebraska,"On the morning of January 24, 2015, two shooters opened fire at a party outside a home in Omaha. Three were killed and five others were injured. One of the suspected shooters was arrested, but the other has not been identified. Possibly gang-related.",random,Omaha,8
,psycho,2015-01-10,,,3,Male,Home+Restaurant,1,46.73059479,"Moscow, Idaho",-116.99900420000002,No,Close,0.0,Asian American,Idaho,"On Friday, January 10, 2015, a man shot his adoptive mother in her house, walked to his landlord's nearby office and shot and killed him and injured another person in the office. He then drove to an Arby's that his parents frequented, asked to see the manager, and shot and killed her. ",random,Moscow,4
,anger,2015-01-01,,,0,Male,,5,35.10528976,"Memphis, Tennessee",-89.97734924,No,Open,0.0,Black American or African American,Tennessee,"On Jan. 1, 2015, 25 people were on a party bus that was shot at by people in two vehicles that followed the bus. At least one of these men had been in a verbal argument with one of the bus' passengers at a club where the party bus had stopped just before the shooting.",party guests,Memphis,5
,psycho,2014-12-15,,,7,Male,Multiple Homes,1,40.39359306,"Pennsburg, Souderton, Lansdale, Harleysville, Pennsylvania",-75.49640881,Yes,Close,0.0,White American or European American,Pennsylvania,"Early in the morning on December 15, 2014, a man entered the Souderton home of his ex-wife's sister and killed her, her husband, and her two children. He then went to a Lansdale residence and shot his ex-wife's mother and grandmother. He proceeded to his ex-wife's home in Lower Salford where he fatally shot her and took their two daughters to another location. Nearly two days later the was found dead from a drug overdose.",Ex-Wife & Family,"Pennsburg, Souderton, Lansdale, Harleysville",7
,psycho,2014-12-01,,,5,Male,Multiple Homes,0,39.63400851,"Morgantown, West Virginia",-79.94839325,No,Close,0.0,White American or European American,West Virginia,"On December 1, 2014, a man entered the home of his ex-girlfriend and shot and killed her and her new boyfriend. He then proceeded to the home of a business rival, whom he killed, and the home of another man with whom his ex-girlfriend had been involved, whom he also killed. The shooter then drove to another county and shot himself.",Ex-Girlfriend+random,Morgantown,4
,terrorism,2014-11-19,,,1,Male,Florida State University,3,30.454939399999997,"Tallahassee, Florida",-84.25264151,Yes,Open,0.0,Black American or African American,Florida,"On November 19 just after midnight,  a graduate of Florida State University went to a library on campus which was full of people. He opened fire, injuring three people. Police arrived and told the shooter to drop the weapon, but he refused. Police then fired at the shooter, killing him.",random,Florida State University,3
,anger,2014-10-24,,,5,Male,School Cafeteria,1,48.04802409,"Marysville, Washington",-122.1359622,No,Close,0.0,Native American or Alaska Native,Washington,"On October 24, 2014, a freshman at Marysville-Pilchuck High School approached a table of his friends in the school cafeteria and a verbal fight ensued. The student then pulled out a handgun and fired at the students at the table. He injured five students, killed 1 girl, and then committed suicide by shooting himself in the head. Three of the four injured students died in the hospital in the following days. ",Friends,Marysville-Pilchuck High School,5
,anger,2014-08-08,,,2,Male,Outside an auto shop,3,35.15290522,"Albuquerque, New Mexico",-106.7791378,No,Open,0.0,Some other race,New Mexico,"The shooter pulled up to an auto shop and saw his ex-girlfriend talking with her current boyfriend. He crashed his car into the car the couple was standing next to. This knocked the current boyfriend to the ground. The shooter then fired fatal shots at his ex-girlfriend, and shot and injured three other women who had entered the shop.",Ex-Girlfriend,Albuquerque Auto Shop,4
,anger,2014-06-29,,,1,Male,street,9,30.0687242,"New Orleans, Louisiana",-89.93147412,No,Open,0.0,Two or more races,Louisiana,"On June 29, 2014, two men were having an argument on Bourbon Street, which escalated into a gunfight. Many shots were fired into the surrounding crowd, killing one and injuring nine.",random,Bourbon Street New Orleans,10
,psycho,2014-06-08,,,5,Male/Female,CafÃÂÃÂ©+Walmart,0,36.18931923,"Las Vegas, Nevada",-115.3264875,No,Close,2.0,White American or European American,Nevada,"On the afternoon of June 8, 2014, a man and his wife approached two police officers having lunch in Las Vegas and began shooting, killing them both. The couple then fled to Walmart, where they killed an armed civilian attempting to stop the shooters. The man was killed by police and the woman killed herself at the Walmart.",Policeman,Nellis Plaza,3
,terrorism,2014-06-05,,,1,Male,Seattle Pacific University,2,47.62199575,"Seattle, Washington",-122.323646,Yes,Close,0.0,Some other race,Washington,"On June 5, 2014, a 26-year-old man entered a hall on the campus of Seattle Pacific University and began shooting at students. The shooter killed one student and injured two others before a student tackled and stopped the shooter as he was reloading.",Students,Seattle Pacific University,3
22,psycho,2014-05-23,,,6,M,,13,34.4221319,"Santa Barbara, California",-119.7026673,Yes,Open+Close,0.0,White,California,"Elliot Rodger, 22, shot three people to death in the college town of Isla Vista near the University of California, Santa Barbara. He also shot others as he drove around town, and injured others by striking them with is vehicle. He committed suicide by shooting himself in his car as police closed in. Prior to the rampage, Rodger stabbed three people to death at his apartment.",random,Isla Vista mass murder,19
19,terrorism,2014-04-29,FedEx,1.0,1,Male,Workplace,6,34.02529674,"Kennesaw, Georgia",-84.61766831,No,Close,0.0,White American or European American,Georgia,"On the morning of April 29, 2014, a 19 year-old package handler at the FedEx in Kennesaw, Georgia arrived at his place of work and began shooting. He wounded six of his coworkers before committing suicide.",Coworkers,Kennesaw FedEx,6
